"","Index","Age","Gender","Word","If_word","Decision","Answer","RT","Word_length"
"1",1,22,"female","буква","yes","space","right",0.508605800103396,5
"2",1,22,"female","ведро","yes","space","right",0.501222799997777,5
"3",1,22,"female","ручка","yes","space","right",0.508512000087649,5
"4",1,22,"female","сжичка","no",NA,"right",NA,6
"5",1,22,"female","хопье","no",NA,"right",NA,5
"6",1,22,"female","стободь","no",NA,"right",NA,7
"7",1,22,"female","носок","yes","space","right",0.500448199920356,5
"8",1,22,"female","тивло","no",NA,"right",NA,5
"9",1,22,"female","реплен","no",NA,"right",NA,6
"10",1,22,"female","зейпан","no",NA,"right",NA,6
"11",1,22,"female","найта","no",NA,"right",NA,5
"12",1,22,"female","малянц","no",NA,"right",NA,6
"13",1,22,"female","штокса","no",NA,"right",NA,6
"14",1,22,"female","плиттер","no",NA,"right",NA,7
"15",1,22,"female","бекня","no",NA,"right",NA,5
"16",1,22,"female","голос","yes","space","right",0.634331999812275,5
"17",1,22,"female","число","yes","space","right",0.532121900003403,5
"18",1,22,"female","осень","yes","space","right",0.430944200139493,5
"19",1,22,"female","кальпон","no",NA,"right",NA,7
"20",1,22,"female","лазоть","no",NA,"right",NA,6
"21",1,22,"female","сапог","yes","space","right",0.560220100451261,5
"22",1,22,"female","ержин","no",NA,"right",NA,5
"23",1,22,"female","мистна","no",NA,"right",NA,6
"24",1,22,"female","грунир","no",NA,"right",NA,6
"25",1,22,"female","нупог","no",NA,"right",NA,5
"26",1,22,"female","прекифь","no",NA,"right",NA,7
"27",1,22,"female","шада","no",NA,"right",NA,4
"28",1,22,"female","огонь","yes","space","right",0.452948200050741,5
"29",1,22,"female","стена","yes","space","right",0.513955499976873,5
"30",1,22,"female","циньво","no",NA,"right",NA,6
"31",1,22,"female","сларты","no",NA,"right",NA,6
"32",1,22,"female","мешок","yes","space","right",0.489139699842781,5
"33",1,22,"female","город","yes","space","right",0.457439999561757,5
"34",1,22,"female","волос","yes","space","right",0.41806250018999,5
"35",1,22,"female","щука","yes","space","right",0.62993700010702,4
"36",1,22,"female","гритня","no",NA,"right",NA,6
"37",1,22,"female","ваза","yes","space","right",0.424569199793041,4
"38",1,22,"female","часы","yes","space","right",0.521291899960488,4
"39",1,22,"female","шелир","no",NA,"right",NA,5
"40",1,22,"female","урул","no",NA,"right",NA,4
"41",1,22,"female","гора","yes","space","right",0.526508700102568,4
"42",1,22,"female","горох","yes","space","right",0.455688700079918,5
"43",1,22,"female","губа","yes","space","right",0.471906099934131,4
"44",1,22,"female","кольцо","yes","space","right",0.512077200226486,6
"45",1,22,"female","мясо","yes","space","right",0.35191940004006,4
"46",1,22,"female","леньез","no",NA,"right",NA,6
"47",1,22,"female","кошка","yes","space","right",0.42781740007922,5
"48",1,22,"female","дочка","yes","space","right",0.449676299933344,5
"49",1,22,"female","запах","yes","space","right",0.381311099976301,5
"50",1,22,"female","посмак","no",NA,"right",NA,6
"51",1,22,"female","кролик","yes","space","right",0.585173600353301,6
"52",1,22,"female","вепемь","no",NA,"right",NA,6
"53",1,22,"female","палка","yes","space","right",0.477895000018179,5
"54",1,22,"female","полер","no",NA,"right",NA,5
"55",1,22,"female","этаж","yes","space","right",0.441946300212294,4
"56",1,22,"female","пестце","no",NA,"right",NA,6
"57",1,22,"female","кресло","yes","space","right",0.416226599831134,6
"58",1,22,"female","пагочь","no",NA,"right",NA,6
"59",1,22,"female","отец","yes","space","right",0.430136099923402,4
"60",1,22,"female","банан","yes","space","right",0.495379200205207,5
"61",1,22,"female","глаза","yes","space","right",0.389815799891949,5
"62",1,22,"female","еверть","no",NA,"right",NA,6
"63",1,22,"female","акань","no",NA,"right",NA,5
"64",1,22,"female","кухня","yes","space","right",0.581177600193769,5
"65",1,22,"female","растол","no",NA,"right",NA,6
"66",1,22,"female","тоюнт","no",NA,"right",NA,5
"67",1,22,"female","шапань","no",NA,"right",NA,6
"68",1,22,"female","нраты","no",NA,"right",NA,5
"69",1,22,"female","васка","no",NA,"right",NA,5
"70",1,22,"female","зима","yes","space","right",0.524943499825895,4
